Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long
201900038491,21,6,2019,0:05,5,93,93050,2,2,1,3,GENERAL DE GAULLE (AVENUE),48,
201900038492,21,6,2019,14:20,1,93,93046,2,2,1,3,MARECHAL LECLERC AVENUE,48,
201900038493,21,6,2019,11:40,1,93,93031,2,1,1,1,ROUGET DE L'ISLE,48,
201900038494,20,6,2019,14:30,1,93,93027,2,6,1,3,QUINET (RUE EDGAR),48,
201900038495,20,6,2019,9:59,1,93,93027,1,9,1,3,SALENGRO (AVENUE ROGER),48,
201900038496,22,6,2019,21:20,2,93,93014,2,4,1,3,JOACHIM DU BELLAY (ALLEE),48,
201900038497,21,6,2019,18:05,1,93,93014,2,3,1,2,RECY (ALLEE DE),48,
201900038498,21,6,2019,13:30,1,93,93014,1,3,1,3,EMILE COSSONNEAU (ALLEE),48,
201900038499,21,6,2019,8:30,1,93,93057,2,2,1,2,BRIAND ( AV. ARISTIDE) 31 A 91,48,
201900038500,22,6,2019,3:45,5,93,93007,2,1,1,3,"""PAUL VAILLANT COUTURIER (AVENUE """"DU 01",48,
201900038501,21,6,2019,19:20,1,93,93007,2,1,1,6,DIVISION LECLERC (AVENUE),48,
201900038502,20,6,2019,9:45,1,93,93005,2,1,2,2,JACQUES DUCLOS [CD44] (RUE),48,
201900038503,22,6,2019,20:45,1,93,93001,2,2,1,3,GOULET (RUE DU)  => 24/31,48,
201900038504,20,6,2019,18:00,1,93,93001,2,1,1,6,DANIELLE CASANOVA (RUE)  59 =>,48,
201900038505,20,6,2019,12:50,1,93,93013,2,1,1,6,LECLERC (AVENU DE LA DIVISION),48,
201900038506,22,6,2019,16:40,2,92,92073,2,9,1,6,FUSILLES DE LA RESISTANCE 1940-1945 (ROU,48,
201900038507,22,6,2019,10:29,1,92,92073,2,1,1,6,CARON (RUE ALBERT),48,
201900038508,21,6,2019,9:10,1,92,92033,2,1,1,1,BUZENVAL,48,
201900038509,20,6,2019,21:50,1,92,92064,2,1,1,1, MARCEL DASSAULT ( QUAI ),48,
201900038510,20,6,2019,20:10,2,92,92064,2,1,1,3,MARECHAL FOCH,48,
201900038511,21,6,2019,8:20,1,92,92063,2,1,1,1,COLMAR (AVENUE DE),48,
201900038512,21,6,2019,9:40,1,92,92062,2,1,1,6,BERGERES (RD-PT DES) DU 117 AU 141,48,
201900038513,17,6,2019,19:45,1,92,92062,2,2,1,6,GENERAL DE GAULLE (AV) DU 44 AU 106,48,
201900038514,20,6,2019,8:40,1,92,92062,2,1,3,2,DE DION BOUTON (QUAI) DU 1 AU 28,48,
201900038515,21,6,2019,11:00,1,92,92051,2,2,1,2,BINEAU (BOULEVARD,,
201900038516,21,6,2019,14:55,1,92,92050,2,5,1,3,HAVRE BOULEVARD DU,48,
201900038517,18,6,2019,22:45,5,92,92050,2,3,1,3,CLEMENCEAU GEORGES AVENUE N°IMPAIR,48,
201900038518,20,6,2019,13:15,1,92,92049,2,2,1,6,BRIAND AVENUE ARISTIDE N°2 A 114,48,
201900038519,19,6,2019,21:10,2,92,92049,2,3,1,3,DORMOY AVENUE MARX N°102 A FIN,48,
201900038520,22,6,2019,13:50,1,92,92044,2,1,1,4,CHARLES PASQUA(QUAI) 2 A 30,48,
201900038521,20,6,2019,20:30,1,92,92025,1,1,1,2,GABRIEL PERI (RUE),48,
201900038522,2,11,2019,11:20,1,92,92012,2,2,7,6,LE CORBUSIER (RUE),48,
201900038523,20,6,2019,14:20,1,92,92012,2,1,1,3,BONTEMPS (rue Marcel),48,
201900038524,21,6,2019,6:40,1,92,92004,2,2,1,1,AULAGNIER ( QUAI ),48,
201900038525,20,6,2019,11:00,1,92,92004,2,1,1,6,GRESILLONS ( AVENUE DES  ),48,
201900038526,22,6,2019,4:10,5,92,92002,2,4,1,3,RAYMON ARON (AVENUE),48,
201900038527,21,6,2019,8:50,1,92,92002,2,1,1,3,DIVISION LECLERC (53 A 217 - 58 A 186),48,
201900038528,21,6,2019,19:15,1,22,22118,1,1,1,1,Le Chemin Creux - RD 794,48,
201900038529,22,6,2019,16:50,1,37,37065,1,1,1,3,Buisson Penot,47,
201900038530,23,6,2019,12:20,1,37,37074,1,3,1,6,Port boulet CD 952 route de Saumur,47,
201900038531,21,6,2019,7:35,1,47,47193,1,1,8,7,Terreblanque,44,
201900038532,17,6,2019,7:50,1,14,14656,1,9,1,7,D562,48,
201900038533,18,6,2019,1:20,3,2A,2A065,1,1,1,7,Route de Piana,42,
201900038534,21,6,2019,21:30,5,1,1450,2,3,1,3,rue de l'artisanat,45,
201900038535,22,6,2019,2:15,3,1,1244,1,6,2,7,RD 1084,45,
201900038536,20,6,2019,11:00,1,38,38336,2,1,1,6,Route des Cotes d'Arey,45,
201900038537,19,6,2019,9:25,1,95,95205,2,1,1,2,7 Rue de la libération 95440,49,
201900038538,21,6,2019,7:30,1,6,6161,2,1,1,2,Route Départementale,43,
201900038539,21,6,2019,19:30,2,18,18117,1,1,2,6,18260,47,
201900038540,19,6,2019,18:45,1,49,49092,1,3,1,3,La Rigaudière (La Tourlandry),47,
201900038541,23,6,2019,20:00,1,31,31071,1,3,7,3,D15 - D73,43,
201900038542,21,6,2019,20:20,2,83,83086,1,1,1,2,N/A,43,
201900038543,21,6,2019,8:05,1,68,68227,1,3,1,3,RD 112,48,
